Recipient,Token Allocated
1006,30620.753478
1013,33588.99521
1030,32634.806507
1038,38157.9118
1040,33669.805979
1074,32951.833372
1076,32330.212067
1105,37728.9931
1110,33200.481894
1112,34375.346161
1118,38157.9118
1119,35603.04824
1141,37116.69612
1142,38157.9118
1145,37856.42547
1170,37163.31771
1173,38157.9118
1180,33184.941362
1185,36429.80457
1186,38157.9118
1192,33331.022368
1193,36756.15576
1207,32861.698283
1213,33029.536035
1218,93707.91179
1226,32790.211833
1229,34900.616163
1243,33045.076568
1253,33293.72509
1258,36622.50718
1264,34232.373261
1276,35304.67001
1283,35870.3454
1284,36025.75073
1294,33247.103492
1307,38157.9118
1311,34341.156989
1335,35746.02114
1341,37380.88517
1344,33107.238698
1346,33216.022427
1355,34207.508408
1361,33825.211306
1366,38157.9118
1368,36563.45315
1374,35155.4809
1380,33924.670715
1382,34117.373319
1383,37471.02026
1466,36265.07493
1406,34648.859535
1424,37101.15558
1428,32718.725383
1438,34704.805452
1446,35904.53457
1447,34257.238113
1459,33045.076568
1462,33533.049292
1465,33216.022427
1468,38089.53346
1471,33216.022427
1474,38157.9118
1478,32594.401122
1481,33809.670773
1504,33766.157282
1509,38157.9118
1515,35777.1022
1519,33573.454677
1522,38157.9118
1540,33153.860296
1545,38157.9118
1549,38157.9118
1555,31832.915023
1558,37592.23641
1566,33371.427753
1569,37542.50671
1572,32578.860589
1576,36358.31812
1584,37070.07452
1587,37070.07452
1588,37070.07452
1600,38157.9118
1602,34832.23782
1607,33153.860296
1614,35537.778
1615,33769.265388
1621,35286.02137
1625,38157.9118
1631,38157.9118
1636,38157.9118
1645,33324.806155
1654,38157.9118
1658,37747.64174
1664,36812.10168
1668,35267.37273
1670,32097.104078
1674,37825.3444
1692,32954.941479
1697,34707.913559
1730,36053.72368
1752,38157.9118
1760,35205.2106
1765,35559.53475
1766,37564.26346
1770,37595.34452
1772,36610.07475
1779,38157.9118
1782,37778.72281
1810,38083.31725
1825,32637.914613
1831,37542.50671
1836,37918.5876
1839,38157.9118
1841,34070.751721
1842,37526.96618
1847,36156.2912
1859,36277.50735
1867,33436.69799
1876,37539.3986
1877,38157.9118
1881,33738.184323
1884,37542.50671
1893,38157.9118
1895,30713.996674
1896,38157.9118
1900,89869.400233
1913,35015.6161
1920,38157.9118
1946,38157.9118
1961,90848.45379
1989,38157.9118
1998,33464.670949
2004,38014.9389
2009,37449.26351
2054,38157.9118
2058,38157.9118
2064,37862.64168
2077,37794.26334
2086,30658.050757
2117,33023.319822
2133,38157.9118
2135,38157.9118
2138,35460.07534
2141,35460.07534
2143,35460.07534
2147,38139.26316
