Recipient,Token Allocated
8677,15476.1
1203,15988.46
5703,15439.2
1896,18739.04
1643,23923.71
1214,15332.75
6203,18087.59
5129,33958.27
4616,33061.28
4269,32084.8
5512,32890.96
8526,34361.34
2354,15639.32
1892,15019.09
5169,15400.88
3803,30637.13
4214,33294.04
1985,17177.83
2926,15680.48
2415,16821.59
4999,15497.39
1900,41845.09
2028,15581.13
3000,32277.83
3546,32028.03
6416,17047.26
3718,16089.24
6188,30472.49
3481,18662.4
3933,17580.9
4063,15510.16
7595,32695.1
3453,15425.01
4844,17214.73
5905,32666.71
1616,15714.54
2247,16289.36
3340,16157.36
3300,15354.04
1821,15823.82
3560,17109.7
3926,37131.8
5049,31236.07
6373,31210.52
5984,32272.15
4749,35167.5
8528,33946.91
6059,16950.74
1839,18632.6
5376,16963.52
6379,15918.92
6678,17380.79
6680,17380.79
3717,16541.99
2368,17270.08
2459,16903.91
3039,16797.46
5900,18513.38
1745,15002.06
1969,17585.16
1288,14935.35
6618,15906.14
2299,17785.28
4751,17666.06
8531,17785.28
1856,16070.78
1857,15914.66
6498,15833.76
3492,15786.92
3079,30821.64
4255,16055.17
4344,16913.84
2876,16935.13
3796,16913.84
6396,15447.71
2734,15180.89
2938,16716.56
4638,32141.58
4639,32127.38
4782,16827.26
5532,15771.31
5277,33651.7
4771,36691.82
3132,34633.85
2675,17490.07
1432,18276.36
2717,18628.34
2718,18628.34
5286,18621.24
4270,17444.66
2609,16087.82
7343,34943.25
2914,35516.65
6615,32201.19
3963,33824.85
1488,17163.63
1260,17177.83
6488,15325.66
3537,16516.44
2991,33890.14
1502,15740.09
2046,15351.21
4868,14708.27
4457,15539.97
6712,15439.2
1638,16503.66
1791,15332.75
898,15667.71
1816,17421.95
1787,15623.7
2460,16713.72
2843,28854.5
5342,15855.05
3358,16523.53
2655,15461.91
2796,17925.79
1822,18096.11
1852,18249.39
3829,18161.39
4325,18181.27
1654,18277.78
5642,18117.4
2137,18067.72
3445,15691.84
1648,17612.13
3513,18026.56
5120,30963.57
2416,16414.25
1981,17228.92
2509,16999
5659,16699.53
5001,17622.06
5541,16638.5
2367,16689.59
2458,17947.09
4947,15687.58
6414,17498.59
6793,17519.88
1358,17985.41
4327,18326.03
2002,17937.15
1415,17761.15
6093,18675.18
1435,16222.65
4737,30594.55
4876,30779.06
1740,16232.58
3215,43094.06
4667,33816.34
2547,33546.67
1158,15460.49
1262,15297.27
5284,16595.92
2792,15361.14
2035,17714.32
4681,18165.66
3948,16656.95
6813,30665.52
6099,17106.86
8793,30779.06
8792,15389.53
2011,15439.2
4913,16610.11
4770,18581.51
4716,18602.8
1677,18581.51
4475,18602.8
1247,16769.08
2042,17071.38
2759,18643.96
2855,18651.05
3010,31599.41
4443,33691.44
1007,17877.54
4921,17778.19
3366,17898.82
2522,17764
2154,15723.06
5617,15250.44
4507,15346.95
5373,15994.14
4510,17490.07
4129,17355.24
2544,17362.33
2605,17220.4
4307,18672.34
3749,18672.34
5646,18739.04
2131,18059.2
904,18338.81
3457,16912.42
5023,15415.07
3893,18547.44
3612,16529.21
4224,18321.77
2900,18739.04
6073,15513
3959,15486.04
3628,15642.16
3124,15894.79
4530,15176.63
5297,30892.6
5125,35102.21
3175,17017.45
4118,18144.37
6257,18360.1
4777,18367.19
1676,18270.68
3909,18043.59
5735,18301.9
2058,18117.4
2327,18077.66
2376,18111.72
3173,17809.41
6320,18375.71
4313,18739.04
2456,15439.2
4620,16368.83
2297,15698.93
1013,15588.23
3020,18739.04
3552,18147.2
2803,17756.9
4283,15389.53
2864,15439.2
2312,15525.77
1697,16099.17
1748,15070.19
2322,17938.57
1495,17605.03
2136,17440.39
1462,15562.68
2588,18739.04
3739,18739.04
3740,18739.04
3082,28780.7
5616,29995.61
6755,29785.56
1269,15487.46
6082,15530.03
2534,14723.88
2394,16637.08
3565,16234
1516,15304.36
1561,18084.75
4221,15694.67
3277,30779.06
3207,15410.81
2341,18580.08
2023,18558.79
3688,18587.18
6175,15332.75
1221,35317.94
5755,35303.75
6304,15914.66
2495,15700.35
4702,30807.45
6370,17025.97
1564,17377.95
5163,17553.94
1318,18059.2
3410,17494.33
2309,17551.1
5201,17544
6799,17544
4695,17050.09
1143,15200.76
1410,17633.42
1645,15467.58
4086,17289.95
4162,15802.54
1824,16073.62
5380,17420.52
4833,16665.47
5897,16049.49
5274,15744.35
2500,17125.32
6411,15808.21
5974,15730.15
5800,15368.24
6372,14931.1
6528,17643.36
5184,15389.53
4435,30452.62
6446,31502.9
4268,32008.16
4274,30026.84
4561,30722.29
2208,15864.98
4745,34684.94
1732,35161.82
4073,15271.72
1315,17965.53
7337,34332.96
4915,15483.2
3695,16234
2780,29893.42
2164,15304.36
1485,15020.51
2917,44662.38
5593,14997.8
4219,18026.56
3480,33986.65
1764,31886.1
5355,18026.56
4477,18026.56
5731,18026.56
954,15843.69
4262,16121.88
2437,15497.39
5915,32678.07
5308,15843.69
6062,16381.61
2621,16204.19
2786,14826.07
4311,16175.81
6651,15581.13
3292,15891.96
3553,15263.21
3554,16052.33
5807,15574.03
4502,14706.84
2389,16617.21
3308,16381.61
6223,15891.96
6666,16326.26
915,16675.4
916,16675.4
1107,15656.35
4233,15460.49
4317,30041.03
3509,15825.25
6795,17657.55
6797,17624.91
8790,31471.67
6109,30946.54
6359,23923.71
6374,17937.15
6391,18739.04
6392,18739.04
2752,18636.85
6436,18629.76
2405,15403.72
2134,18022.3
4487,18083.33
5748,15765.63
1095,34693.46
1079,35828.89
3293,99694.09
3364,32101.84
6554,18186.94
2805,17512.78
3827,15640.74
1137,17820.77
2108,16682.5
2450,17609.29
5496,18226.69
2951,15453.39
2234,16956.42
1010,15801.12
1041,32626.97
3118,32181.32
5852,33484.22
5775,32226.73
4550,33086.82
934,34304.57
3994,31744.18
2199,31786.75
6417,31744.18
4182,15786.92
2411,30889.76
6357,32794.45
2742,37205.6
5195,15836.6
5191,15836.6
1082,15361.14
1555,29572.66
3613,15653.51
1597,16411.41
1424,17192.02
3047,16588.83
2037,16902.49
1240,17962.7
3843,16987.64
6492,18739.04
3692,18739.04
4171,18162.81
6778,18730.53
2698,15565.51
2293,31715.79
1566,30977.76
5667,18026.56
4945,15102.83
7588,16337.61
3320,16329.09
2722,34466.37
1604,33387.71
5505,18054.95
3783,18026.56
5144,15304.36
3966,30438.43
2103,33427.45
889,33401.9
4493,17254.47
2163,17572.39
4170,17964.12
4447,18054.95
3867,15576.87
5364,18040.76
5472,18054.95
5606,18040.76
5547,18026.56
5040,18047.85
5291,18015.21
5763,18015.21
3003,18026.56
5224,15836.6
2183,16394.38
2660,17410.59
1633,17396.4
1634,17396.4
2651,17382.21
4624,17403.5
4632,17403.5
5453,15815.31
1448,15389.53
5494,15843.69
5406,18054.95
4668,18026.56
5558,18040.76
5175,18047.85
1135,37478.1
6600,37236.82
1650,36961.48
4169,37236.82
1779,37415.65
6028,18216.75
4512,18245.13
6699,18436.74
4933,18739.04
1959,18140.11
4768,37444.04
6594,37444.04
7545,37415.65
1320,37478.1
5413,18040.76
5154,18047.85
3299,18026.56
5836,18047.85
2336,15769.9
3529,17453.17
4357,37478.1
4139,37006.9
6321,37478.1
4122,37478.1
6915,17921.54
6177,17616.39
6111,17637.68
4767,18054.95
2857,18047.85
1020,36910.39
4565,18040.76
3633,18026.56
5052,37012.58
5332,35292.4
5919,33489.9
6744,36774.13
2970,37012.58
6514,36998.38
5483,18026.56
5414,18040.76
4977,18047.85
5138,18047.85
5506,18054.95
5474,15843.69
5361,15843.69
4780,15843.69
4864,15836.6
5408,15843.69
5445,15829.5
3855,15389.53
4054,15396.62
4936,18047.85
6285,18047.85
1186,18054.95
5103,18047.85
4649,18054.95
1185,16885.45
5620,16857.07
5535,16878.36
5242,15815.31
3569,15304.36
5366,15872.09
5367,15872.09
3596,15417.91
4241,15836.6
4242,15836.6
5608,18026.56
2702,17007.51
6393,17135.25
2920,16219.81
3604,15975.69
5045,15410.81
5451,15815.31
4305,30835.83
2973,31559.67
2721,32808.64
8307,12494.18
975,15500.23
4078,15486.04
3164,16153.1
2121,15417.91
1317,18448.09
3918,18723.43
3461,18394.16
1752,18624.08
1530,18479.32
2124,18631.18
1978,18609.89
5019,18588.6
6078,18739.04
1326,17600.77
5468,15843.69
4504,15105.67
4577,15426.42
6210,14241.32
5351,15762.8
5352,15762.8
5353,15762.8
2872,15609.52
2873,15794.02
4501,29572.66
3958,15403.72
4107,15217.79
4640,18739.04
3011,18634.02
3533,18531.83
1161,15405.14
1162,15405.14
1034,15469
4098,16823
4231,15389.53
8538,15602.42
7336,14481.18
4961,15495.97
5945,15460.49
1204,16473.86
3654,35110.73
1080,35053.96
3419,35110.73
3655,35124.92
3967,35110.73
