Recipient,Token Allocated
1250,6876
38,3354
714,6708
729,9224
39,4696
40,5031
41,5031
42,3354
154,3354
1243,2851
22,3354
1270,2515
43,3354
44,3354
45,4696
46,3354
47,5031
48,3354
49,4193
50,5031
51,3354
52,4193
53,3354
54,4193
55,3354
56,4696
57,5031
58,4696
59,4193
60,3354
61,3354
62,3354
63,4193
64,4696
65,4193
66,3354
67,5031
68,5031
69,4193
70,3354
71,3354
72,3354
73,4696
74,4193
75,3354
76,5031
77,3354
78,5031
79,5031
80,3354
81,4696
82,4193
83,4193
84,4193
85,3354
86,3354
87,3354
88,4696
91,4696
92,3354
93,5031
94,3354
95,5031
96,4696
97,3354
98,5031
99,4696
100,5031
101,4696
102,4696
103,4193
104,3354
105,4193
106,4696
107,5031
108,3354
109,5031
110,5031
111,3354
112,3354
113,3354
114,3354
115,3354
116,3354
117,4696
118,4696
119,4193
120,5031
121,3354
123,3354
124,4193
125,4696
126,3354
127,3354
128,4696
129,4193
130,5031
131,3354
132,3354
133,5031
134,4193
135,3354
136,4193
137,3354
138,3354
140,5031
141,4696
142,4193
143,3354
144,4696
145,4193
146,4696
147,5031
148,3354
23,3354
149,4193
150,4193
151,4696
152,4696
153,3354
156,3354
157,4193
158,4696
159,3354
160,3354
161,4193
162,3354
163,4193
164,4193
165,3354
166,3354
167,3354
168,4696
89,5031
169,5031
171,3354
172,4696
90,4193
173,5031
174,3354
175,4193
176,5031
177,4696
178,3354
179,3354
180,3354
181,4696
182,4193
183,5031
19,4193
122,5031
139,5031
155,4696
170,5031
219,3354
184,4193
185,3354
186,3354
187,3354
188,4696
400,4696
189,4193
190,3354
191,3354
192,3354
193,5031
194,3354
195,4696
196,3354
197,3354
198,4696
199,5031
200,3354
201,4696
202,5031
203,4696
204,5031
205,4696
206,4696
207,4193
208,4193
209,3354
210,4696
211,5031
212,3354
213,5031
214,3354
215,3354
216,3354
217,4193
218,4696
220,4193
221,5031
222,4696
223,4193
224,5031
225,3354
226,3354
227,4696
228,3354
229,4193
230,4193
231,3354
232,3354
233,5031
234,3354
235,3354
236,3354
237,3354
238,3354
239,3354
240,4696
241,4193
242,4193
243,4696
244,4696
245,4696
246,3354
247,5031
248,4696
249,4696
250,5031
251,3354
252,4696
253,4696
254,3354
255,3354
256,3354
257,4696
258,4193
259,4696
260,3354
261,4193
262,5031
263,3354
264,4193
265,4193
266,3354
267,4193
268,4696
269,3354
270,4193
271,4193
272,4696
273,3354
274,4193
275,3354
276,4193
277,4696
278,5031
279,4696
280,4696
281,5031
282,5031
283,4696
284,5031
285,4193
286,4696
287,3354
288,5031
289,4193
290,3354
291,4193
292,4193
293,3354
294,4193
295,4696
296,3354
297,4696
298,3354
299,5031
0,3354
1,4193
2,5031
3,3354
4,3354
5,4696
6,5031
7,3354
8,4193
9,5031
10,3354
11,3354
12,3354
13,3354
14,3354
15,5031
16,4193
17,5031
18,5031
300,4193
301,3354
302,5031
303,3354
304,4193
305,3354
306,3354
307,3354
308,3354
309,3354
310,3354
311,3354
312,4193
313,3354
314,5031
315,3354
316,4193
317,5031
318,3354
319,4193
320,4696
321,5031
322,3354
323,4193
324,4696
325,3354
326,3354
327,5031
328,4193
329,5031
330,4193
331,4193
332,5031
333,4193
334,3354
335,3354
336,3354
337,5031
338,5031
339,4696
340,5031
341,4696
342,3354
343,5031
344,4193
345,3354
346,4696
347,3354
348,4696
349,3354
350,3354
351,3354
352,4696
353,5031
354,3354
355,5031
356,4696
357,5031
358,3354
359,4696
360,3354
361,3354
362,4696
363,4696
364,3354
365,3354
366,4696
367,3354
368,4696
369,3354
370,4696
371,5031
372,3354
373,4193
374,3354
375,4696
376,4193
377,5031
378,4696
379,5031
380,4696
381,4696
382,3354
383,3354
384,5031
385,4696
386,4696
387,4193
388,3354
389,3354
390,4193
391,3354
392,5031
393,3354
394,3354
395,3354
396,3354
397,5031
398,4193
399,4193
401,3354
402,4193
403,5031
404,5031
405,3354
406,3354
407,5031
518,8386
408,3354
409,4696
410,4193
411,4696
20,4193
21,3354
24,3354
25,4193
26,5031
27,3354
28,5031
29,5031
30,3354
31,3354
32,3354
33,3354
34,5031
35,3354
36,3354
37,4696
412,4193
413,4193
414,4193
415,5031
416,4193
417,4696
418,3354
419,4696
420,4193
421,3354
422,4696
423,5031
424,3354
425,4696
426,3354
427,3354
428,5031
429,4696
430,4193
431,3354
432,3354
433,5031
434,4193
435,3354
436,3354
437,5031
438,3354
439,4696
440,4696
441,3354
442,4696
443,3354
444,4696
445,4193
446,5031
447,3354
448,3354
449,4193
450,4193
451,5031
452,3354
453,4193
454,5031
455,4193
456,3354
457,4193
458,5031
459,3354
460,5031
461,5031
462,4696
463,5031
464,4696
465,5031
466,3354
467,3354
468,3354
469,4696
470,3354
471,3354
472,3354
473,5031
474,3354
475,3354
476,5031
477,5031
478,3354
479,4193
480,5031
481,4696
482,4193
483,4193
484,3354
485,4193
486,3354
487,4696
488,3354
489,4696
490,4193
491,5031
492,4696
493,3354
494,4193
495,5031
496,4193
497,3354
498,4193
499,3354
500,8386
501,9728
502,8386
503,8386
504,9224
505,6708
506,9728
507,6708
508,9728
509,9728
510,6708
511,9224
512,8386
513,6708
514,8386
515,9224
516,9728
517,9728
519,8386
520,9728
521,6708
522,8386
523,8386
524,6708
525,8386
526,9728
527,9224
528,9224
529,8386
530,9224
531,9224
532,6708
533,9224
534,8386
535,9728
536,9728
537,9728
538,6708
539,6708
540,6708
541,9728
542,6708
543,8386
544,9224
545,6708
546,6708
547,8386
548,9224
549,6708
550,9728
551,6708
552,9224
553,6708
554,6708
555,8386
556,6708
557,9728
558,8386
559,6708
560,8386
561,8386
562,9224
563,8386
564,8386
565,9728
566,8386
567,9728
568,9224
569,9728
570,6708
571,9728
572,8386
573,9728
574,9728
575,9224
576,6708
577,8386
578,9728
579,8386
580,6708
581,8386
582,9224
583,9728
584,9224
585,6708
586,6708
587,6708
588,9728
589,9224
590,9728
591,9728
592,9728
593,6708
594,9224
595,9224
596,9728
597,9224
598,6708
599,8386
668,6708
669,6708
670,6708
671,8386
672,8386
673,9224
674,9224
675,9728
676,9728
677,6708
678,6708
679,6708
680,9224
681,8386
682,8386
683,6708
684,8386
685,8386
686,9728
687,6708
688,6708
689,9224
690,9728
691,8386
692,9224
693,9224
694,9224
695,6708
696,9224
697,9224
698,9728
699,9224
700,6708
701,8386
702,9224
703,9728
704,9224
705,9728
706,9224
707,9224
708,9728
709,6708
710,8386
711,9728
712,6708
713,9224
715,8386
716,9728
717,6708
718,9728
719,8386
720,8386
721,9728
722,9224
723,8386
724,9224
725,9224
726,9224
727,6708
728,9224
730,9728
731,6708
732,9728
733,8386
734,6708
735,9728
736,6708
737,8386
738,9728
739,9224
740,6708
741,6708
742,6708
743,8386
744,9728
745,9224
746,9728
747,8386
748,9224
749,9224
750,9224
751,9728
752,9224
753,8386
754,8386
755,6708
756,8386
757,9224
758,8386
759,9224
760,9728
761,9224
762,9728
763,6708
764,6708
765,9224
766,6708
767,9224
768,9728
769,9728
770,9224
771,8386
772,8386
773,6708
774,8386
775,9224
776,9224
777,9728
778,6708
779,6708
780,6708
781,8386
782,6708
783,9224
784,9224
785,9224
786,9224
787,8386
788,9224
789,6708
790,9728
791,8386
792,9224
793,6708
794,9728
795,6708
796,6708
797,9224
798,9728
799,8386
800,6708
801,8386
802,8386
803,9224
804,9728
805,9728
806,9728
807,6708
808,9728
809,9728
810,6708
811,9224
812,9728
813,6708
814,6708
815,9224
816,9728
817,9728
818,6708
819,9224
820,6708
821,6708
822,8386
823,9728
824,8386
825,9728
826,8386
827,6708
828,8386
829,6708
830,9224
831,8386
832,9224
833,9728
834,8386
835,9224
836,8386
837,9728
838,8386
839,9224
840,6708
841,8386
842,9224
843,9224
844,6708
845,8386
846,9224
847,8386
848,8386
849,8386
850,6708
851,8386
852,9728
853,9224
854,9728
855,8386
856,9728
857,8386
858,8386
859,8386
860,9224
861,9728
862,9728
863,6708
864,9728
865,8386
866,9728
867,8386
868,8386
869,8386
870,9728
871,8386
872,6708
873,9224
874,9224
875,9224
876,6708
877,8386
878,9728
879,8386
880,9224
881,9728
882,8386
883,9728
884,9728
885,9224
886,6708
887,9728
888,6708
889,6708
890,9224
891,9224
892,9224
893,9224
894,9224
895,6708
896,9728
897,9224
898,9728
899,8386
600,9224
601,6708
602,6708
603,9728
604,9224
605,9728
606,8386
607,9728
608,8386
609,9728
610,9728
611,9728
612,8386
613,9224
614,9728
615,9728
616,8386
617,6708
618,9728
619,9224
620,8386
621,9728
622,6708
623,9224
624,6708
625,8386
626,9224
627,8386
628,8386
629,9224
630,9728
631,9224
632,9224
633,9224
634,9224
635,6708
636,8386
637,8386
638,9728
639,6708
640,9224
641,6708
642,6708
643,9224
644,6708
645,6708
646,9224
647,9728
648,8386
649,6708
650,6708
651,8386
652,9728
653,8386
654,6708
655,9728
656,9728
657,8386
658,8386
659,6708
660,6708
661,8386
662,6708
663,8386
664,9728
665,6708
666,9728
667,9728
900,26835
901,21804
902,26835
903,26835
904,21804
905,30190
906,26835
907,30190
908,26835
909,21804
910,21804
911,26835
912,26835
913,30190
914,21804
915,26835
916,30190
917,26835
918,21804
919,26835
920,21804
921,30190
922,26835
923,21804
924,26835
925,21804
926,21804
927,21804
928,26835
929,21804
930,26835
931,21804
932,30190
933,30190
934,21804
935,30190
936,21804
937,21804
938,26835
939,21804
940,30190
941,21804
942,30190
943,30190
944,26835
945,21804
946,30190
947,21804
948,30190
949,30190
950,21804
951,30190
952,26835
953,30190
954,26835
955,21804
956,26835
957,26835
958,21804
959,26835
960,26835
961,26835
962,21804
963,21804
964,26835
965,26835
966,21804
967,26835
968,21804
969,26835
970,30190
971,30190
972,21804
973,30190
974,21804
975,30190
976,26835
977,21804
978,26835
979,26835
980,3019
981,3522
982,3186
983,3689
984,3354
985,3186
986,2851
987,3186
988,2515
989,3019
990,2515
991,4193
992,2683
993,4193
994,3857
995,4193
996,4193
997,2851
998,3522
999,2683
1000,3019
1001,3354
1002,3689
1003,2851
1004,3689
1005,2851
1006,3857
1007,3019
1008,3857
1009,2515
1010,3019
1011,3522
1012,2683
1013,3689
1014,3186
1015,3857
1016,3857
1017,3689
1018,2515
1019,4193
1020,3522
1021,2851
1022,2683
1023,3186
1024,3522
1025,2683
1026,2515
1027,8050
1028,8721
1029,24320
1030,4696
1031,4696
1032,4696
1033,4696
1034,4696
1035,4696
1036,4696
1037,4696
1038,4696
1039,4696
1040,4696
1041,4696
1042,4696
1043,4696
1044,4696
1045,4696
1046,4696
1047,4696
1048,4696
1049,4696
1050,4696
1051,4696
1052,4696
1053,4696
1054,4696
1055,4696
1056,4696
1057,4696
1058,4696
1059,4696
1060,4696
1061,4696
1062,4696
1063,4696
1064,4696
1065,4696
1066,4696
1067,4696
1068,4696
1069,4696
1070,4696
1071,4696
1072,4696
1073,4696
1074,4696
1075,4696
1076,4696
1077,4696
1078,4696
1079,4696
1080,4696
1081,4696
1082,4696
1083,4696
1084,4696
1085,4696
1086,4696
1087,4696
1088,4696
1089,4696
1090,4696
1091,4696
1092,4696
1093,4696
1094,4696
1095,4696
1096,4696
1097,4696
1098,4696
1099,4696
1100,4696
1101,4696
1102,4696
1103,4696
1104,4696
1105,4696
1106,4696
1107,4696
1108,4696
1109,4696
1110,4696
1111,4696
1112,4696
1113,4696
1114,4696
1115,4696
1116,4696
1117,4696
1118,4696
1119,4696
1120,4696
1121,4696
1122,4696
1123,4696
1124,4696
1125,4696
1126,4696
1127,4696
1128,4696
1129,4696
1130,4696
1131,4696
1132,4696
1133,4696
1134,4696
1135,4696
1136,4696
1137,4696
1138,4696
1139,4696
1140,4696
1141,4696
1142,4696
1143,4696
1144,4696
1145,4696
1146,4696
1147,4696
1148,4696
1149,4696
1150,4696
1151,4696
1152,4696
1153,4696
1154,4696
1155,4696
1156,4696
1157,4696
1158,4696
1159,4696
1160,4696
1161,4696
1162,4696
1163,4696
1164,4696
1165,4696
1166,4696
1167,4696
1168,4696
1169,4696
1170,4696
1171,4696
1172,4696
1173,4696
1174,4696
1175,4696
1176,4696
1177,4696
1178,4696
1179,4696
1180,4696
1181,4696
1182,4696
1183,4696
1184,4696
1185,4696
1186,4696
1187,4696
1188,4696
1189,4696
1190,11405
1191,11405
1192,11405
1193,11405
1194,11405
1195,11405
1196,11405
1197,11405
1198,11405
1199,11405
1200,11405
1201,11405
1202,11405
1203,11405
1204,11405
1205,11405
1206,4025
1207,3522
1208,3186
1209,2515
1210,3019
1211,3689
1212,2515
1213,2851
1214,2683
1215,3857
1216,3857
